Source,Destination,Item name,Extension,Item size (bytes),Type,Status,Result category,Message,Error code,Source item ID,Destination item ID,Package number,Migration job ID,Incremental round,Task ID,Device name,Server error message
"E:\BOX\EML Structure\_Finance\Global\G\4 Financial Planning and Analysis\Budgets\Budgets (EML Group)\FY2021\EML FY21 Budget\Summary Budget FY21 EML Global Summary.xlsx","https://emlpayments.sharepoint.com/sites/msteams721-G/Shared Documents/G/4 Financial Planning and Analysis/Budgets/Budgets (EML Group)/FY2021/EML FY21 Budget/Summary Budget FY21 EML Global Summary.xlsx","Summary Budget FY21 EML Global Summary.xlsx",".xlsx","558628","File","Failed","PACK FAILURE","Packaging Failure:Cannot open the file","0x01410001","66fc662d-a360-5b9f-a817-73220a2533b6","66fc662d-a360-5b9f-a817-73220a2533b6","N/A","N/A","1","d8ff7c46-e8a8-45ef-bfb0-7b8031068b86","devblue","N/A"
"E:\BOX\EML Structure\_Marketing\Australia\A\Jobs - Restricted\Australia\PPJ016162 - EML AUS - Policy - Employee Handbook Aus\ PPJ016162 - EML AUS - Policy - Employee Handbook Aus  EML Payments_DFA.docx","https://emlpayments.sharepoint.com/sites/msteams252-A/Shared Documents/A/Jobs - Restricted/Australia/PPJ016162 - EML AUS - Policy - Employee Handbook Aus/ PPJ016162 - EML AUS - Policy - Employee Handbook Aus  EML Payments_DFA.docx"," PPJ016162 - EML AUS - Policy - Employee Handbook Aus  EML Payments_DFA.docx",".docx","1431404","File","Failed","SCAN FAILURE","Scan File Failure:Path contains invalid characters. Valid path doesn't start or end with space. Other invalid characters are <, ?, >, *, |, "", :, \, /","0x0111000C","e6a69022-66c4-551f-8a47-998d0fd0cc24","e6a69022-66c4-551f-8a47-998d0fd0cc24","N/A","N/A","1","9e64817d-4fd4-4558-bb44-4b66d096f8c6","devblue","N/A"
"E:\BOX\EML Structure\_Marketing\Australia\A\Jobs - Restricted\Australia\PPJ016162 - EML AUS - Policy - Employee Handbook Aus\ PPJ016162 - EML AUS - Policy - Employee Handbook Aus  EML Payments_FA.pdf","https://emlpayments.sharepoint.com/sites/msteams252-A/Shared Documents/A/Jobs - Restricted/Australia/PPJ016162 - EML AUS - Policy - Employee Handbook Aus/ PPJ016162 - EML AUS - Policy - Employee Handbook Aus  EML Payments_FA.pdf"," PPJ016162 - EML AUS - Policy - Employee Handbook Aus  EML Payments_FA.pdf",".pdf","1743158","File","Failed","SCAN FAILURE","Scan File Failure:Path contains invalid characters. Valid path doesn't start or end with space. Other invalid characters are <, ?, >, *, |, "", :, \, /","0x0111000C","51a2e6c5-8e5d-5d3e-bd51-0c8cb8b5154f","51a2e6c5-8e5d-5d3e-bd51-0c8cb8b5154f","N/A","N/A","1","9e64817d-4fd4-4558-bb44-4b66d096f8c6","devblue","N/A"
"E:\BOX\EML Structure\_Project Management\EMEA\E\Internal Projects\PCI Bet365\FW_ Statement-Bet365 -FwD TO BET365.msg","https://emlpayments.sharepoint.com/sites/PM354-E/Shared Documents/E/Internal Projects/PCI Bet365/FW_ Statement-Bet365 -FwD TO BET365.msg","FW_ Statement-Bet365 -FwD TO BET365.msg",".msg","4157440","File","Failed","PACK FAILURE","Packaging Failure:Cannot open the file","0x01410001","57b477df-709b-5f4b-adad-d7784a83834e","57b477df-709b-5f4b-adad-d7784a83834e","N/A","N/A","1","aa089231-8cd1-4d80-9817-99d9cc51a407","devblue","N/A"
"E:\BOX\EML Structure\_Sales\EMEA\E\Sales (EML EUR)\SIOBHAN-DESIGN\CARD AND WALLET ARTWORK 2019\ WALLETS 2019","https://emlpayments.sharepoint.com/sites/msteams171-E/Shared Documents/E/Sales (EML EUR)/SIOBHAN-DESIGN/CARD AND WALLET ARTWORK 2019/ WALLETS 2019"," WALLETS 2019","","0","Folder","Failed","SCAN FAILURE","Scan File Failure:Path contains invalid characters. Valid path doesn't start or end with space. Other invalid characters are <, ?, >, *, |, "", :, \, /","0x0111000C","da8b586c-18d2-59d1-99f6-2e74c5d7f98d","da8b586c-18d2-59d1-99f6-2e74c5d7f98d","N/A","N/A","1","d33563a7-d94d-4f01-8f81-58a417684a35","devblue","N/A"
"E:\BOX\EML Structure\_Sales\EMEA\E\Sales (EML EUR)\SIOBHAN-DESIGN\CARD AND WALLET ARTWORK 2019\ WALLETS 2019\RELOAD WALLETS – A4 WALLETS","https://emlpayments.sharepoint.com/sites/msteams171-E/Shared Documents/E/Sales (EML EUR)/SIOBHAN-DESIGN/CARD AND WALLET ARTWORK 2019/ WALLETS 2019/RELOAD WALLETS – A4 WALLETS","RELOAD WALLETS – A4 WALLETS","","0","Folder","Failed","SCAN FAILURE","Scan File Failure:The parent folder was not migrated","0x0111000F","3bacefae-e2bd-52d9-90b6-dc36c597b3f1","3bacefae-e2bd-52d9-90b6-dc36c597b3f1","N/A","N/A","1","d33563a7-d94d-4f01-8f81-58a417684a35","devblue","N/A"
"E:\BOX\EML Structure\_Sales\EMEA\E\Sales (EML EUR)\SIOBHAN-DESIGN\CARD AND WALLET ARTWORK 2019\ WALLETS 2019\WALLETS","https://emlpayments.sharepoint.com/sites/msteams171-E/Shared Documents/E/Sales (EML EUR)/SIOBHAN-DESIGN/CARD AND WALLET ARTWORK 2019/ WALLETS 2019/WALLETS","WALLETS","","0","Folder","Failed","SCAN FAILURE","Scan File Failure:The parent folder was not migrated","0x0111000F","2cd98cf5-5cc8-5306-aed2-fc0d87c2150b","2cd98cf5-5cc8-5306-aed2-fc0d87c2150b","N/A","N/A","1","d33563a7-d94d-4f01-8f81-58a417684a35","devblue","N/A"
"E:\BOX\EML Structure\_Sales\EMEA\E\Sales (EML EUR)\SIOBHAN-DESIGN\CARD AND WALLET ARTWORK 2019\ WALLETS 2019\WALLETS\ iCabbi wallet_2019","https://emlpayments.sharepoint.com/sites/msteams171-E/Shared Documents/E/Sales (EML EUR)/SIOBHAN-DESIGN/CARD AND WALLET ARTWORK 2019/ WALLETS 2019/WALLETS/ iCabbi wallet_2019"," iCabbi wallet_2019","","0","Folder","Failed","SCAN FAILURE","Scan File Failure:Path contains invalid characters. Valid path doesn't start or end with space. Other invalid characters are <, ?, >, *, |, "", :, \, /","0x0111000C","fdb777f8-6846-53af-91b1-0caa868aead1","fdb777f8-6846-53af-91b1-0caa868aead1","N/A","N/A","1","d33563a7-d94d-4f01-8f81-58a417684a35","devblue","N/A"
"E:\BOX\EML Structure\_Sales\EMEA\E\Sales (EML EUR)\SIOBHAN-DESIGN\CARD AND WALLET ARTWORK 2019\ WALLETS 2019\RELOAD WALLETS – A4 WALLETS\Bightside_Reload Wallet OCT2019 Folder","https://emlpayments.sharepoint.com/sites/msteams171-E/Shared Documents/E/Sales (EML EUR)/SIOBHAN-DESIGN/CARD AND WALLET ARTWORK 2019/ WALLETS 2019/RELOAD WALLETS – A4 WALLETS/Bightside_Reload Wallet OCT2019 Folder","Bightside_Reload Wallet OCT2019 Folder","","0","Folder","Failed","SCAN FAILURE","Scan File Failure:The parent folder was not migrated","0x0111000F","cb51fa85-33c1-5ef1-8a14-6b9b736fe96a","cb51fa85-33c1-5ef1-8a14-6b9b736fe96a","N/A","N/A","1","d33563a7-d94d-4f01-8f81-58a417684a35","devblue","N/A"
"E:\BOX\EML Structure\_Sales\EMEA\E\Sales (EML EUR)\SIOBHAN-DESIGN\CARD AND WALLET ARTWORK 2019\ WALLETS 2019\RELOAD WALLETS – A4 WALLETS\Bightside_Reload Wallet OCT2019 Folder\Bightside_Reload Wallet OCT2019.idml","https://emlpayments.sharepoint.com/sites/msteams171-E/Shared Documents/E/Sales (EML EUR)/SIOBHAN-DESIGN/CARD AND WALLET ARTWORK 2019/ WALLETS 2019/RELOAD WALLETS – A4 WALLETS/Bightside_Reload Wallet OCT2019 Folder/Bightside_Reload Wallet OCT2019.idml","Bightside_Reload Wallet OCT2019.idml",".idml","176825","File","Failed","SCAN FAILURE","Scan File Failure:The parent folder was not migrated","0x0111000F","a9e56329-fdbc-5a5f-85d0-526b410fc1d2","a9e56329-fdbc-5a5f-85d0-526b410fc1d2","N/A","N/A","1","d33563a7-d94d-4f01-8f81-58a417684a35","devblue","N/A"
